group1,group2,group3
26,3.53722E-07,24.2
26,3.65739E-07,24.4
26,3.78054E-07,24.6
26,3.90526E-07,24.8
26,4.03382E-07,25
26,4.16418E-07,25.2
26,4.29669E-07,25.4
26,4.43347E-07,25.6
26,4.57174E-07,25.8
26,4.71391E-07,26
26,4.85785E-07,26.2
26,5.0051E-07,26.4
26,5.15518E-07,26.6
26,5.30875E-07,26.8
26,5.46419E-07,27
26,5.62235E-07,27.2
26,5.78469E-07,27.4
26,5.94926E-07,27.6
26,6.11768E-07,27.8
26,6.28771E-07,28
26,6.46265E-07,28.2
26,6.63864E-07,28.4
26,6.82066E-07,28.6
26,7.00241E-07,28.8
26,7.19033E-07,29
26,7.37914E-07,29.2
26,7.57123E-07,29.4
26,7.7685E-07,29.6
26,7.9673E-07,29.8
26,8.17083E-07,30
