
UGS= -30 to 30 in 0.2 step
UDS= 5 to 26 in 7 step
NO. UDS ID UGS
 V A V
1 5 4.99707E-08 -30
2 5 4.29938E-08 -29.8
3 5 3.93023E-08 -29.6
4 5 3.68301E-08 -29.4
5 5 3.45966E-08 -29.2
6 5 3.27255E-08 -29
7 5 3.11075E-08 -28.8
8 5 2.96958E-08 -28.6
9 5 2.83421E-08 -28.4
10 5 2.71842E-08 -28.2
11 5 2.61428E-08 -28
12 5 2.51481E-08 -27.8
13 5 2.42172E-08 -27.6
14 5 2.33476E-08 -27.4
15 5 2.24742E-08 -27.2
16 5 2.16309E-08 -27
17 5 2.08396E-08 -26.8
18 5 2.01177E-08 -26.6
19 5 1.94124E-08 -26.4
20 5 1.8748E-08 -26.2
21 5 1.81101E-08 -26
22 5 1.75115E-08 -25.8
23 5 1.69808E-08 -25.6
24 5 1.64761E-08 -25.4
25 5 1.5977E-08 -25.2
26 5 1.55293E-08 -25
27 5 1.50921E-08 -24.8
28 5 1.4696E-08 -24.6
29 5 1.42977E-08 -24.4
30 5 1.39148E-08 -24.2
31 5 1.35523E-08 -24
32 5 1.3218E-08 -23.8
33 5 1.29886E-08 -23.6
34 5 1.25821E-08 -23.4
35 5 1.22898E-08 -23.2
36 5 1.19929E-08 -23
37 5 1.17999E-08 -22.8
38 5 1.14724E-08 -22.6
39 5 1.1237E-08 -22.4
40 5 1.11064E-08 -22.2
41 5 1.08581E-08 -22
42 5 1.05939E-08 -21.8
43 5 1.05107E-08 -21.6
44 5 1.02901E-08 -21.4
45 5 1.0172E-08 -21.2
46 5 1.00452E-08 -21
47 5 1.0017E-08 -20.8
48 5 9.9122E-09 -20.6
49 5 9.7838E-09 -20.4
50 5 9.6508E-09 -20.2
51 5 9.5315E-09 -20
52 5 9.401E-09 -19.8
53 5 9.2688E-09 -19.6
54 5 9.153E-09 -19.4
55 5 9.0362E-09 -19.2
56 5 8.908E-09 -19
57 5 8.7933E-09 -18.8
58 5 8.76112E-09 -18.6
59 5 8.17509E-09 -18.4
60 5 8.01748E-09 -18.2
61 5 7.85122E-09 -18
62 5 7.68173E-09 -17.8
63 5 7.53978E-09 -17.6
64 5 7.42132E-09 -17.4
65 5 7.28677E-09 -17.2
66 5 7.1561E-09 -17
67 5 7.03119E-09 -16.8
68 5 6.9027E-09 -16.6
69 5 6.78619E-09 -16.4
70 5 6.66896E-09 -16.2
71 5 6.53929E-09 -16
72 5 6.41214E-09 -15.8
73 5 6.29711E-09 -15.6
74 5 6.16347E-09 -15.4
75 5 6.03369E-09 -15.2
76 5 5.92077E-09 -15
77 5 5.94286E-09 -14.8
78 5 5.6694E-09 -14.6
79 5 5.5544E-09 -14.4
80 5 5.58417E-09 -14.2
81 5 5.31556E-09 -14
82 5 5.18448E-09 -13.8
83 5 5.05975E-09 -13.6
84 5 5.09339E-09 -13.4
85 5 4.82557E-09 -13.2
86 5 4.70911E-09 -13
87 5 4.58452E-09 -12.8
88 5 4.63234E-09 -12.6
89 5 4.36124E-09 -12.4
90 5 4.2553E-09 -12.2
91 5 4.29469E-09 -12
92 5 4.18519E-09 -11.8
93 5 3.92653E-09 -11.6
94 5 3.95878E-09 -11.4
95 5 3.70793E-09 -11.2
96 5 3.58897E-09 -11
97 5 3.64081E-09 -10.8
98 5 3.38299E-09 -10.6
99 5 3.4262E-09 -10.4
100 5 3.3241E-09 -10.2
101 5 3.06706E-09 -10
102 5 2.96759E-09 -9.8
103 5 3.05991E-09 -9.6
104 5 2.97024E-09 -9.4
105 5 2.71912E-09 -9.2
106 5 2.76555E-09 -9
107 5 2.67053E-09 -8.8
108 5 2.42521E-09 -8.6
109 5 2.3204E-09 -8.4
110 5 2.37093E-09 -8.2
111 5 2.13122E-09 -8
112 5 2.02803E-09 -7.8
113 5 2.08637E-09 -7.6
114 5 1.84492E-09 -7.4
115 5 1.7548E-09 -7.2
116 5 1.65772E-09 -7
117 5 1.7234E-09 -6.8
118 5 1.48921E-09 -6.6
119 5 1.3951E-09 -6.4
120 5 1.30881E-09 -6.2
121 5 1.37298E-09 -6
122 5 1.1445E-09 -5.8
123 5 1.05432E-09 -5.6
124 5 9.7507E-10 -5.4
125 5 8.9141E-10 -5.2
126 5 8.1706E-10 -5
127 5 7.3656E-10 -4.8
128 5 6.5345E-10 -4.6
129 5 9.4408E-10 -4.4
130 5 5.5003E-10 -4.2
131 5 4.6044E-10 -4
132 5 3.7178E-10 -3.8
133 5 2.9843E-10 -3.6
134 5 2.2071E-10 -3.4
135 5 1.5342E-10 -3.2
136 5 8.508E-11 -3
137 5 1.535E-11 -2.8
138 5 -4.998E-11 -2.6
139 5 -1.1775E-10 -2.4
140 5 -1.7597E-10 -2.2
141 5 -2.4196E-10 -2
142 5 -3.0121E-10 -1.8
143 5 -3.6257E-10 -1.6
144 5 -4.1532E-10 -1.4
145 5 -4.6863E-10 -1.2
146 5 -5.2882E-10 -1
147 5 -5.8045E-10 -0.8
148 5 -6.3448E-10 -0.6
149 5 -6.8484E-10 -0.4
150 5 -7.3788E-10 -0.2
151 5 -7.9252E-10 0
152 5 -8.2607E-10 0.2
153 5 -8.7617E-10 0.4
154 5 -9.2075E-10 0.6
155 5 -9.6442E-10 0.8
156 5 -1.01065E-09 1
157 5 -1.04914E-09 1.2
158 5 -1.09418E-09 1.4
159 5 -1.1288E-09 1.6
160 5 -1.16704E-09 1.8
161 5 -1.19308E-09 2
162 5 -1.22613E-09 2.2
163 5 -1.25015E-09 2.4
164 5 -1.27461E-09 2.6
165 5 -1.30087E-09 2.8
166 5 -1.32345E-09 3
167 5 -1.35213E-09 3.2
168 5 -1.37162E-09 3.4
169 5 -1.3987E-09 3.6
170 5 -1.42111E-09 3.8
171 5 -1.44921E-09 4
172 5 -1.46917E-09 4.2
173 5 -1.49236E-09 4.4
174 5 -1.52203E-09 4.6
175 5 -1.54525E-09 4.8
176 5 -1.57325E-09 5
177 5 -1.59803E-09 5.2
178 5 -1.62999E-09 5.4
179 5 -1.66234E-09 5.6
180 5 -1.70336E-09 5.8
181 5 -1.74147E-09 6
182 5 -1.79065E-09 6.2
183 5 -1.85356E-09 6.4
184 5 -1.91741E-09 6.6
185 5 -1.9939E-09 6.8
186 5 -2.04202E-09 7
187 5 -2.07576E-09 7.2
188 5 -1.29378E-09 7.4
189 5 2.4343E-10 7.6
190 5 9.9425E-10 7.8
191 5 1.69374E-09 8
192 5 2.47709E-09 8.2
193 5 3.62619E-09 8.4
194 5 4.92469E-09 8.6
195 5 6.23638E-09 8.8
196 5 7.32089E-09 9
197 5 8.34793E-09 9.2
198 5 9.41586E-09 9.4
199 5 1.05233E-08 9.6
200 5 1.33179E-08 9.8
201 5 1.37815E-08 10
202 5 1.49465E-08 10.2
203 5 1.64448E-08 10.4
204 5 1.8043E-08 10.6
205 5 1.97202E-08 10.8
206 5 2.14792E-08 11
207 5 2.3308E-08 11.2
208 5 2.5217E-08 11.4
209 5 2.71931E-08 11.6
210 5 2.92501E-08 11.8
211 5 3.13783E-08 12
212 5 3.35839E-08 12.2
213 5 3.58584E-08 12.4
214 5 3.82045E-08 12.6
215 5 4.06211E-08 12.8
216 5 4.31094E-08 13
217 5 4.54396E-08 13.2
218 5 4.82896E-08 13.4
219 5 5.10142E-08 13.6
220 5 5.37855E-08 13.8
221 5 5.66349E-08 14
222 5 5.95357E-08 14.2
223 5 6.25206E-08 14.4
224 5 6.55694E-08 14.6
225 5 6.86852E-08 14.8
226 5 7.18484E-08 15
227 5 7.50669E-08 15.2
228 5 7.83723E-08 15.4
229 5 8.17201E-08 15.6
230 5 8.51545E-08 15.8
231 5 8.86178E-08 16
232 5 9.21632E-08 16.2
233 5 9.57466E-08 16.4
234 5 9.94155E-08 16.6
235 5 1.030957E-07 16.8
236 5 1.068894E-07 17
237 5 1.106982E-07 17.2
238 5 1.142906E-07 17.4
239 5 1.18814E-07 17.6
240 5 1.22535E-07 17.8
241 5 1.26611E-07 18
242 5 1.30708E-07 18.2
243 5 1.34882E-07 18.4
244 5 1.3909E-07 18.6
245 5 1.43362E-07 18.8
246 5 1.47657E-07 19
247 5 1.52014E-07 19.2
248 5 1.56439E-07 19.4
249 5 1.6092E-07 19.6
250 5 1.65448E-07 19.8
251 5 1.70003E-07 20
252 5 1.74666E-07 20.2
253 5 1.7934E-07 20.4
254 5 1.84074E-07 20.6
255 5 1.88797E-07 20.8
256 5 1.93651E-07 21
257 5 1.985E-07 21.2
258 5 2.03393E-07 21.4
259 5 2.08376E-07 21.6
260 5 2.13377E-07 21.8
261 5 2.18434E-07 22
262 5 2.23548E-07 22.2
263 5 2.28717E-07 22.4
264 5 2.3393E-07 22.6
265 5 2.39181E-07 22.8
266 5 2.44439E-07 23
267 5 2.49775E-07 23.2
268 5 2.55159E-07 23.4
269 5 2.60593E-07 23.6
270 5 2.66106E-07 23.8
271 5 2.71586E-07 24
272 5 2.77135E-07 24.2
273 5 2.82758E-07 24.4
274 5 2.88427E-07 24.6
275 5 2.94092E-07 24.8
276 5 2.99837E-07 25
277 5 3.05574E-07 25.2
278 5 3.11386E-07 25.4
279 5 3.17309E-07 25.6
280 5 3.23175E-07 25.8
281 5 3.29143E-07 26
282 5 3.35155E-07 26.2
283 5 3.41212E-07 26.4
284 5 3.4726E-07 26.6
285 5 3.5339E-07 26.8
286 5 3.59537E-07 27
287 5 3.65678E-07 27.2
288 5 3.71949E-07 27.4
289 5 3.78175E-07 27.6
290 5 3.84579E-07 27.8
291 5 3.90938E-07 28
292 5 3.97341E-07 28.2
293 5 4.03773E-07 28.4
294 5 4.10274E-07 28.6
295 5 4.16815E-07 28.8
296 5 4.23406E-07 29
297 5 4.29982E-07 29.2
298 5 4.36601E-07 29.4
299 5 4.43293E-07 29.6
300 5 4.49983E-07 29.8
301 5 4.56806E-07 30
302 12 1.53445E-07 -30
303 12 8.67669E-08 -29.8
304 12 7.4427E-08 -29.6
305 12 6.62213E-08 -29.4
306 12 6.04311E-08 -29.2
307 12 5.68684E-08 -29
308 12 5.41647E-08 -28.8
309 12 5.17706E-08 -28.6
310 12 4.96404E-08 -28.4
311 12 4.77688E-08 -28.2
312 12 4.5956E-08 -28
313 12 4.43718E-08 -27.8
314 12 4.31646E-08 -27.6
315 12 4.19715E-08 -27.4
316 12 4.07568E-08 -27.2
317 12 3.96939E-08 -27
318 12 3.85172E-08 -26.8
319 12 3.73852E-08 -26.6
320 12 3.63607E-08 -26.4
321 12 3.543E-08 -26.2
322 12 3.44809E-08 -26
323 12 3.35081E-08 -25.8
324 12 3.26295E-08 -25.6
325 12 3.1819E-08 -25.4
326 12 3.0989E-08 -25.2
327 12 3.0239E-08 -25
328 12 2.95657E-08 -24.8
329 12 2.87847E-08 -24.6
330 12 2.79969E-08 -24.4
331 12 2.72296E-08 -24.2
332 12 2.64332E-08 -24
333 12 2.5638E-08 -23.8
334 12 2.48565E-08 -23.6
335 12 2.41095E-08 -23.4
